comment_type,dest_lang,translation,user_id,source_lang,rule_used,comment_id,created_at,updated_at,confidence
episode,fr,Plus belle vue pour les yeux 👀,21667900,en,,13143419,2018-07-13 10:53:05,2018-07-13 10:53:05,
episode,es,No sé cómo va a terminar esta temporada ...,21667900,en,,13168440,2018-07-06 17:02:31,2018-07-06 17:02:31,
episode,fr,Je ne sais pas comment cette saison va se terminer ...,21667900,en,,13168440,2018-07-06 17:05:28,2018-07-06 17:05:28,
episode,pt,Não sei como esta temporada vai acabar ...,21667900,en,,13168440,2018-07-06 16:56:40,2018-07-06 16:56:40,
episode,ar,آن رائع حقا ❤️👍,21667900,en,,13200186,2018-07-13 21:17:25,2018-07-13 21:17:25,
episode,fr,Anne est vraiment merveilleuse ❤️👍,21667900,en,,13200186,2018-07-10 23:38:05,2018-07-10 23:38:05,
episode,fr,Verge d'effondrement 😢😢😭😭,21667900,en,,13225624,2018-07-24 01:38:34,2018-07-24 01:38:34,
episode,pt,À beira do colapso 😢😢😭😭,21667900,en,,13225624,2018-07-29 02:28:41,2018-07-29 02:28:41,
episode,pt,"Todo episódio eu entoando em minha mente: esteja a salvo June, por favor.",21667900,en,,13254123,2018-07-13 13:30:00,2018-07-13 13:30:00,
episode,fr,La chanson à la fin est tellement belle ❤️❤️,21667900,en,,13275765,2022-02-03 21:54:12,2022-02-03 21:54:12,
episode,fr,"Ragnar a tout perdu: frère, fille, fils, épouse",21667900,en,,13288094,2018-08-13 22:05:54,2018-08-13 22:05:54,
episode,es,Athelstan 😢😢💔💔💔,21667900,en,,13363551,2018-07-31 12:52:00,2018-07-31 12:52:00,
episode,ar,بكيت من أجل لا شيء 😂😂😢😅,21667900,en,,13376691,2018-07-27 15:18:09,2018-07-27 15:18:09,
episode,de,Ich schrie umsonst 😂😂😢😅,21667900,en,,13376691,2018-07-28 17:25:54,2018-07-28 17:25:54,
episode,fr,J'ai pleuré pour rien 😂😂😢😅,21667900,en,,13376691,2018-07-28 22:46:22,2018-07-28 22:46:22,
episode,it,Ho pianto per niente 😂😂😢😅,21667900,en,,13376691,2018-07-25 23:53:38,2018-07-25 23:53:38,
episode,pt,Eu chorei por nada 😂😂😢😅,21667900,en,,13376691,2018-08-06 10:14:35,2018-08-06 10:14:35,
episode,ar,"هذه الحلقة لالتقاط الأنفاس 💔💔😱😱
والنهاية ليست سوى 😥😥😥😰",21667900,en,,13379382,2018-07-23 17:24:49,2018-07-23 17:24:49,
episode,es,"Este episodio es impresionante 💔💔😱😱
Y el final es solo 😥😥😥😰",21667900,en,,13379382,2018-07-25 22:21:30,2018-07-25 22:21:30,
episode,fr,"Cet épisode est à couper le souffle 💔💔😱😱
Et la fin est juste 😥😥😥😰",21667900,en,,13379382,2018-07-23 17:22:36,2018-07-23 17:22:36,
episode,it,"Questo episodio è mozzafiato 💔💔😱😱
E il finale è solo 😥😥😥😰",21667900,en,,13379382,2018-07-23 16:43:20,2018-07-23 16:43:20,
episode,pl,"Ten odcinek zapiera dech w piersiach 💔💔😱😱
A koniec to tylko 😥😥😥😰",21667900,en,,13379382,2020-11-09 18:48:44,2020-11-09 18:48:44,
episode,pt,"Este episódio é de tirar o fôlego
E o final é só 😥😥😥😰",21667900,en,,13379382,2018-07-24 01:18:14,2018-07-24 01:18:14,
episode,fr,Une fois un traître toujours un traître 😾😾,21667900,en,,13392235,2018-08-07 15:34:07,2018-08-07 15:34:07,
episode,de,Pilot ist erstaunlich 😍 😍,21667900,en,,13401113,2018-08-09 11:49:29,2018-08-09 11:49:29,
episode,it,Non abbiamo bisogno del triangolo amoroso 😩,21667900,en,,13402271,2018-08-04 15:36:58,2018-08-04 15:36:58,
episode,fr,Pourquoi je déteste dr. Grant & Pippa 😭😭😭😭,21667900,en,,13451289,2018-10-16 19:22:04,2018-10-16 19:22:04,
episode,es,"No tengo palabras sobre cómo me siento acerca de esta final. 😭😭😭Esperé un final feliz. Pero este final es casi el perfecto.
Voy a extrañar todo el elenco 💕💕.",21667900,en,,13459131,2018-08-11 00:54:55,2018-08-11 00:54:55,
episode,it,"Non ho parole su come mi sento riguardo a questa finale. ""Speravo in un lieto fine. Ma questo finale è dannatamente vicino al perfetto.
Mi mancherà tutto il cast 💕💕.",21667900,en,,13459131,2018-08-03 11:56:08,2018-08-03 11:56:08,
episode,fr,"Rollo est traître, il a trahi sa propre chair et son sang.
Honte à lui.
Moi à Rollo 👇👇",21667900,en,,13459633,2018-09-04 08:28:53,2018-09-04 08:28:53,
episode,ar,"جاكي: في كل مرة أكون في المتجر ، كل ما يفعله هو التحديق في أثداءي.
آني: حسنًا ، الجميع يفعل ذلك. ربما يجب عليك الاستثمار في حمالة صدر أفضل
😂😂😂",21667900,en,,13477899,2022-06-22 16:58:04,2022-06-22 16:58:04,
episode,es,"Jackie: cada vez que estoy en la tienda, todo lo que hace es mirar mis tetas.
Annie: bueno, todos hacen eso. Tal vez deberías invertir en un mejor sostén
😂😂😂",21667900,en,,13477899,2018-07-30 12:58:24,2018-07-30 12:58:24,
episode,fr,"Jackie: Chaque fois que je suis dans le magasin, tout ce qu'il fait, c'est regarder mes seins.
Annie: Eh bien, tout le monde le fait. Peut-être que vous devriez investir dans un meilleur soutien-gorge
😂😂😂",21667900,en,,13477899,2018-07-30 14:22:11,2018-07-30 14:22:11,
episode,it,"Jackie: Ogni volta che sono nel negozio, tutto quello che fa è fissare le mie tette.
Annie: beh, lo fanno tutti. Forse dovresti investire in un reggiseno migliore
😂😂😂",21667900,en,,13477899,2018-07-30 12:36:51,2018-07-30 12:36:51,
episode,pt,"Jackie: Toda vez que eu estou na loja, tudo o que ele faz é olhar para os meus peitos.
Annie: bem, todo mundo faz isso. Talvez você deva investir em um sutiã melhor
😂😂😂",21667900,en,,13477899,2018-07-30 18:10:51,2018-07-30 18:10:51,
episode,ar,ينتهي الشرير ، قلبي تخطي حرفيا نبضة. 😱😱,21667900,en,,13477911,2018-07-30 21:54:51,2018-07-30 21:54:51,
episode,es,"El final es malvado, mi corazón literalmente se salta un latido. 😱😱",21667900,en,,13477911,2018-07-30 12:31:25,2018-07-30 12:31:25,
episode,fr,"La fin est mauvaise, mon cœur bat littéralement un battement. 😱😱",21667900,en,,13477911,2018-07-30 12:53:34,2018-07-30 12:53:34,
episode,it,"La fine è malvagia, il mio cuore letteralmente salta un battito. 😱😱",21667900,en,,13477911,2018-07-30 15:22:01,2018-07-30 15:22:01,
episode,pt,"O final é perverso, meu coração literalmente pula uma batida. 😱😱",21667900,en,,13477911,2018-07-30 12:53:49,2018-07-30 12:53:49,
episode,fr,L'horloge tourne pour Rollo le putain de traître,21667900,en,,13494704,2019-01-15 23:56:40,2019-01-15 23:56:40,
episode,fr,"Meilleur épisode jamais. Cet épisode est tout ce que les hommes peuvent demander. Rage, émotions, chagrin, réunion père-fils, mère et frère chienne. Et Ivar. La cinématographie est juste excellente et bande son aussi.
Toutes les personnes sont brisées à certains égards.",21667900,en,,13506302,2019-01-16 01:03:05,2019-01-16 01:03:05,
episode,it,"Il miglior episodio di sempre. Questo episodio è tutto ciò che gli uomini potrebbero chiedere. Rabbia, emozioni, crepacuore, riunione padre-figlio, cagna madre e fratello. E Ivar. La cinematografia è semplicemente eccellente e anche la colonna sonora.
Tutte le persone sono rotte in qualche modo.",21667900,en,,13506302,2018-12-28 16:32:22,2018-12-28 16:32:22,
episode,cs,"Kdo jiný se zamiloval do ivaru?
🙋🙋",21667900,en,,13506725,2018-08-22 19:34:09,2018-08-22 19:34:09,
episode,fr,"Qui d'autre est tombé amoureux d'ivar?
🙋🙋",21667900,en,,13506725,2018-08-07 19:52:45,2018-08-07 19:52:45,
episode,es,¡Bueno! No odio aslaug ahora. La admiro.,21667900,en,,13507346,2018-10-09 18:05:20,2018-10-09 18:05:20,
episode,pt,Tanta violência ❤️💕💕😍😍😍,21667900,en,,13526188,2018-09-02 16:45:40,2018-09-02 16:45:40,
episode,ar,مشاعر مختلطة ل Ivar 😍😱😭😡,21667900,en,,13536306,2018-08-08 23:58:11,2018-08-08 23:58:11,
episode,es,Rollo siempre elige la fiesta equivocada.,21667900,en,,13550287,2018-08-05 03:16:01,2018-08-05 03:16:01,
episode,it,Rollo sceglie sempre la festa sbagliata.,21667900,en,,13550287,2018-09-13 19:44:23,2018-09-13 19:44:23,
episode,pt,Rollo sempre escolhe a parte errada.,21667900,en,,13550287,2018-08-06 09:43:41,2018-08-06 09:43:41,
episode,ar,"الكثير من الألم
الكثير من الحب
خسارة كبيرة
الكثير من الحزن
الكثير من الكراهية
الكثير من العاطفة
كل ما يمكن أن أطلبه في منتصف الموسم النهائي. ❤️😭💕",21667900,en,,13554517,2018-08-08 08:41:41,2018-08-08 08:41:41,
episode,es,"Mucho dolor
Tanto amor
Tanta pérdida
Mucho dolor
Tanto odio
Tanta emoción
Todo lo que podría pedir para la final de la temporada media. ❤️😭💕",21667900,en,,13554517,2018-08-17 22:20:52,2018-08-17 22:20:52,
episode,fr,"Tellement de douleur
Tant d'amour
Tant de perte
Tant de chagrin
Tant de haine
Tant d'émotion
Tout ce que j'ai pu demander pour la mi-saison finale. ❤️😭💕",21667900,en,,13554517,2018-08-14 18:04:41,2018-08-14 18:04:41,
episode,it,"Così tanto dolore
Così tanto amore
Quanta perdita
Così tanto dolore
Così tanto odio
Tanta emozione
Tutto quello che potevo chiedere per la finale di metà stagione. ❤️😭💕",21667900,en,,13554517,2018-09-29 21:56:36,2018-09-29 21:56:36,
episode,fr,Suis-je le seul?,21667900,en,,13565077,2018-08-09 19:47:16,2018-08-09 19:47:16,
episode,ar,حقيقي!!,21667900,en,,13574958,2021-12-04 01:43:26,2021-12-04 01:43:26,
episode,es,¡¡Cierto!!,21667900,en,,13574958,2021-08-30 00:27:37,2021-08-30 00:27:37,
episode,it,Quando ms. La prima apparizione di Stacy ho pensato che Anne sia cresciuta 😅,21667900,en,,13575586,2018-08-09 13:29:58,2018-08-09 13:29:58,
episode,ar,سأفتقدهم ❤️❤️😍😍,21667900,en,,13575958,2018-08-09 22:03:49,2018-08-09 22:03:49,
episode,es,Los extrañaré ❤️❤️😍😍,21667900,en,,13575958,2018-08-07 19:13:30,2018-08-07 19:13:30,
episode,fr,Ils me manqueront,21667900,en,,13575958,2018-08-07 14:10:39,2018-08-07 14:10:39,
episode,it,Mi mancheranno ❤️❤️😍😍,21667900,en,,13575958,2018-08-08 11:21:56,2018-08-08 11:21:56,
episode,pl,Będę za nimi tęsknić ❤️❤️😍😍,21667900,en,,13575958,2018-08-06 21:54:11,2018-08-06 21:54:11,
episode,pt,Eu sentirei falta deles ❤️❤️😍😍,21667900,en,,13575958,2018-08-07 00:45:05,2018-08-07 00:45:05,
episode,tr,Onları özleyeceğim ❤️❤️😍😍,21667900,en,,13575958,2018-08-09 08:48:14,2018-08-09 08:48:14,
episode,ar,إنهاء هذا زاحف جدا.,21667900,en,,13587520,2018-08-24 20:46:45,2018-08-24 20:46:45,
episode,es,Ending es espeluznante.,21667900,en,,13587520,2018-08-21 22:14:00,2018-08-21 22:14:00,
episode,fr,La fin est si effrayante.,21667900,en,,13587520,2018-08-15 23:18:52,2018-08-15 23:18:52,
episode,it,La fine è così inquietante.,21667900,en,,13587520,2018-08-08 19:54:39,2018-08-08 19:54:39,
episode,pt,O final é tão assustador.,21667900,en,,13587520,2018-08-17 19:13:16,2018-08-17 19:13:16,
episode,tr,Sonu çok ürpertici.,21667900,en,,13587520,2018-09-01 16:26:33,2018-09-01 16:26:33,
episode,fr,"Qu'est-ce qui est arrivé à eux deux?
Je suis vraiment inquiet",21667900,en,,13638634,2018-08-12 20:06:04,2018-08-12 20:06:04,
episode,it,"Cosa è successo a entrambi?
Sono davvero preoccupato",21667900,en,,13638634,2018-08-11 21:25:18,2018-08-11 21:25:18,
episode,pl,"Co się stało z obiema z nich?
Naprawdę się martwię",21667900,en,,13638634,2018-08-12 16:54:54,2018-08-12 16:54:54,
episode,pt,"O que aconteceu com os dois?
Estou realmente preocupado",21667900,en,,13638634,2018-08-16 01:48:44,2018-08-16 01:48:44,
episode,ar,اذهبوا إلى الجحيم يا جميع الذين يلومون لوسي.,21667900,en,,13651735,2021-12-30 09:52:32,2021-12-30 09:52:32,
episode,es,"Vete al infierno, todos los que culpan a Lucy.",21667900,en,,13651735,2018-10-03 09:38:25,2018-10-03 09:38:25,
episode,fr,Allez au diable qui vous blâmez lucy.,21667900,en,,13651735,2018-08-28 23:23:49,2018-08-28 23:23:49,
episode,it,Vai al diavolo tutti quelli che stanno incolpando di lucy.,21667900,en,,13651735,2018-08-18 00:53:01,2018-08-18 00:53:01,
episode,pt,"Vá para o inferno, vocês estão culpando a lucy.",21667900,en,,13651735,2018-09-17 03:29:07,2018-09-17 03:29:07,
episode,ru,"Идите к черту все, кто обвиняет Люси.",21667900,en,,13651735,2022-12-04 12:17:22,2022-12-04 12:17:22,
episode,fr,Tout va mal! 😭😭😭,21667900,en,,13652603,2019-04-05 20:43:57,2019-04-05 20:43:57,
episode,ar,"حسنًا ، سأقوم بتدوينها حتى لو لم أكن أعرف ما أحاول قوله.
- ما اللعينة التي حدثت للقضية؟
- لماذا تحدق هاريت في ويليام في النهاية؟ (هل أنا أفكر كثيرا؟)
- ما هي الصفقة مع اللورد فالون؟
- ماذا سيحدث للسيد مارني؟

وأنا فخور بلوسي وتشارلوت 😘😍❤️THEY'RE BADASS",21667900,en,,13653282,2023-05-18 23:33:16,2023-05-18 23:33:16,
episode,es,"Está bien, así que voy a escribirlo incluso si no sé lo que estoy tratando de decir.
- ¿Qué diablos le ha pasado al caso?
- ¿Por qué Harriet mira a William al final? (¿Estoy pensando demasiado?)
- ¿Cuál es el trato con el señor Fallon?
- ¿Qué pasará con el señor Marney?

Y estoy orgulloso de LUCY Y CHARLOTTE 😘😍❤️THEY'RE BADASS",21667900,en,,13653282,2019-04-14 00:24:19,2019-04-14 00:24:19,
episode,fr,"Se sent si bien pour Lydia Quigley 😂😂
Et Lucy est génial 😍 😍",21667900,en,,13663044,2018-08-31 10:10:19,2018-08-31 10:10:19,
episode,ar,"هناك الكثير من الهراء الكبير بين مارجريت وليديا.
هذا الموسم سيكون مثيرا 👍😭😊😍",21667900,en,,13663406,2023-05-21 22:29:46,2023-05-21 22:29:46,
episode,es,"Hay mucha mierda entre Margaret y Lydia.
Esta temporada va a ser emocionante. 👍😭😊😍",21667900,en,,13663406,2020-09-16 18:08:37,2020-09-16 18:08:37,
episode,it,"C'è molta merda tra Margaret e Lydia.
Questa stagione sarà eccitante. 👍😭😊😍",21667900,en,,13663406,2018-08-28 12:57:05,2018-08-28 12:57:05,
episode,pt,"Há muita merda entre Margaret e Lydia.
Esta temporada vai ser emocionante. 👍😭😊😍",21667900,en,,13663406,2019-06-06 22:37:44,2019-06-06 22:37:44,
episode,es,¿Alguien que las cosas que amy Adams merece el jodido Oscar por este episodio?,21667900,en,,13676544,2018-08-17 23:48:40,2018-08-17 23:48:40,
episode,fr,Quelqu'un qui a des amy Adams mérite un putain d'Oscar pour cet épisode?,21667900,en,,13676544,2018-08-14 16:59:24,2018-08-14 16:59:24,
episode,it,Qualcuno che pensa che amy Adams meriti il cazzo di Oscar per questo episodio?,21667900,en,,13676544,2022-11-05 08:35:02,2022-11-05 08:35:02,
episode,pt,Alguém que coisas que amy Adams merece porra Oscar para este episódio?,21667900,en,,13676544,2019-01-31 09:40:30,2019-01-31 09:40:30,
episode,es,¿Acabo de llorar al final de la serie de drama criminal? 😭😭,21667900,en,,13686475,2018-12-25 19:56:05,2018-12-25 19:56:05,
episode,it,Woah! Non l'ho visto arrivare nel finale 😑😑,21667900,en,,13686723,2018-08-19 12:28:51,2018-08-19 12:28:51,
episode,pt,Woah! Não vi isso chegando no final 😑😑,21667900,en,,13686723,2018-08-28 04:31:08,2018-08-28 04:31:08,
episode,it,Qualcuno ha sentito vibrazioni vichinghe nel finale?,21667900,en,,13698088,2018-08-18 20:29:09,2018-08-18 20:29:09,
episode,pl,Czarownice to suki 😠😠😠,21667900,en,,13709215,2018-11-11 14:15:38,2018-11-11 14:15:38,
episode,fr,Je ne sais pas si je devrais être heureux ou triste. 😐,21667900,en,,13712666,2018-08-27 16:55:05,2018-08-27 16:55:05,
episode,it,"Non lo so, se dovessi essere felice o triste. 😐",21667900,en,,13712666,2018-08-20 21:45:18,2018-08-20 21:45:18,
episode,pl,"Nie wiem, czy powinienem być szczęśliwy czy smutny. 😐",21667900,en,,13712666,2018-08-26 14:33:26,2018-08-26 14:33:26,
episode,fr,Pouvez-vous sentir votre peur en regardant cet épisode?,21667900,en,,13719978,2018-08-19 22:22:31,2018-08-19 22:22:31,
episode,it,Riesci a percepire la tua paura mentre guardi questo episodio?,21667900,en,,13719978,2018-08-19 17:32:42,2018-08-19 17:32:42,
episode,fr,"Cette chienne lucy ferait mieux de jouer à un jeu.
Beaucoup de choses vont se passer en finale de la saison, préparez-vous",21667900,en,,13723925,2018-09-28 15:29:17,2018-09-28 15:29:17,
episode,it,"Quella stronza è meglio che giochi con una specie di gioco.
Un sacco di cose succederanno nella stagione finale, Mettetevi d'accordo ❤️😉",21667900,en,,13723925,2018-08-22 18:49:52,2018-08-22 18:49:52,
episode,es,"¡Maldita sea! Este episodio fue absolutamente impresionante. y la banda sonora 😍😭❤️👍😩
!! ¡HBO NUNCA DECEPCIONA!
Yo en el final de cada episodio: Amy merece el jodido Oscar 👌👌",21667900,en,,13745880,2018-08-20 15:50:16,2018-08-20 15:50:16,
episode,fr,"Zut! Cet épisode était à couper le souffle. et la bande son
!! HBO NE JAMAIS DÉCOUVRIR !!
Moi sur la fin de chaque épisode: Amy mérite de baiser Oscar 👌👌",21667900,en,,13745880,2018-08-20 18:48:30,2018-08-20 18:48:30,
episode,it,"Dannazione! Questo episodio è stato assolutamente mozzafiato. e la colonna sonora 😍😭❤️👍😩
!! HBO MAI DELUSO !!
Io alla fine di ogni episodio: Amy merita il cazzo di Oscar 👌👌",21667900,en,,13745880,2018-08-20 15:53:47,2018-08-20 15:53:47,
episode,pt,"Droga! Este episódio foi absolutamente deslumbrante. e a trilha sonora 😍😭❤️👍😩
!! HBO nunca decepciona !!
Eu no final de cada episódio: Amy merece porra Oscar 👌👌",21667900,en,,13745880,2018-08-20 15:09:10,2018-08-20 15:09:10,
episode,ar,"حقا تريد أن تعرف كيف أدورا فعلت ذلك؟ نهائي الموسم سيكون الأفضل.
لا يزال زوج أدورا يعطيني مشاعر زاحفة. أنا متأكد من أنه شارك أيضا في هذا.",21667900,en,,13745900,2018-08-20 17:08:56,2018-08-20 17:08:56,
episode,es,"¿Realmente quieres saber cómo lo hizo Adora? La final de la temporada va a ser la mejor.
Aún el marido de Adora me está dando vibraciones espeluznantes. Estoy seguro de que él también está involucrado en esto.",21667900,en,,13745900,2018-08-21 14:40:23,2018-08-21 14:40:23,
episode,fr,"Vraiment envie de savoir comment Adora l'a fait? La finale de la saison va être la meilleure.
Pourtant, le mari d'Adora me donne des vibrations effrayantes. Je suis sûr qu'il a également participé à cela.",21667900,en,,13745900,2018-08-20 18:49:32,2018-08-20 18:49:32,
episode,pt,"Realmente quer saber como Adora fez isso? A final da temporada será a melhor.
Ainda o marido de Adora está me dando vibrações assustadoras. Tenho certeza de que ele também se envolveu nisso.",21667900,en,,13745900,2018-08-20 15:16:47,2018-08-20 15:16:47,
episode,it,"Klaus si pentirà di non aver ucciso suo padre.
Non essere un sentimentale è solo causare dolore nella vita reale.",21667900,en,,13757896,2018-10-19 17:20:30,2018-10-19 17:20:30,
episode,pl,"NIE POWIEDZ MAMY
😨😨😨",21667900,en,,13824282,2018-08-27 10:48:45,2018-08-27 10:48:45,
episode,pt,"NÃO DIGA MAMA
😨😨😨",21667900,en,,13824282,2018-08-27 10:49:35,2018-08-27 10:49:35,
episode,it,"L'hanno davvero uccisa. Episodio peggiore di sempre. 😭😭😭😭
Prima di tutto ci fanno sentire in contatto con i personaggi e poi li hanno uccisi, non c'è niente di buono in questo.
SONO PISSATO, MI STO PUCCANDO.",21667900,en,,13908145,2018-09-15 23:47:33,2018-09-15 23:47:33,
episode,it,"Riesci a percepire la paura?
Riesci a sentire il dolore?
Riesci a vedere i mostri?
Puoi fermare le tue lacrime?
😭😢😢",21667900,en,,13909636,2018-09-17 22:42:25,2018-09-17 22:42:25,
episode,it,"Rebekah ha ottenuto Marcel
Kol ha preso davina
Elia è libero dal peso di sempre e per sempre.
MA Klaus? Ha perso tutto, intendo TUTTO

Soffrono tutti",21667900,en,,13979540,2018-09-23 00:43:01,2018-09-23 00:43:01,
episode,pt,"Estou feliz por Elijah, mas eu quero meu antigo de volta 😢😭😭💔💔",21667900,en,,13981796,2018-10-15 19:01:26,2018-10-15 19:01:26,
episode,fr,Cet épisode est un chef-d'œuvre ♥ ️,21667900,en,,14104002,2018-10-22 19:30:28,2018-10-22 19:30:28,
episode,pt,Este episódio é uma obra prima ♥ ️,21667900,en,,14104002,2019-05-10 04:23:14,2019-05-10 04:23:14,
episode,pt,Essa última cena é tão brutal?,21667900,en,,14146579,2018-09-25 19:38:16,2018-09-25 19:38:16,
episode,ar,تلك المشهد الأخير ❤️❤️👌,21667900,en,,14147324,2018-09-23 09:01:29,2018-09-23 09:01:29,
episode,fr,Ces dernières scènes ❤️❤️👌,21667900,en,,14147324,2018-09-23 11:04:03,2018-09-23 11:04:03,
episode,ar,كان ذلك مضحكا جدا 😂 😂 😂 😂,21667900,en,,14160690,2021-05-26 02:17:22,2021-05-26 02:17:22,
episode,en,That was so funny 😂 😂 😂 😂,21667900,en,,14160690,2018-12-11 11:52:08,2018-12-11 11:52:08,
episode,fr,C'était tellement drôle 😂 😂 😂 😂,21667900,en,,14160690,2020-03-31 15:28:01,2020-03-31 15:28:01,
