folder_id,archived,created_at,diffusion,updated_at,active,notification_type,notification_offset,tv_show_name,user_id,tv_show_id
,0,2020-09-29 07:57:23,original,2020-09-29 07:57:23,1,2,1440,Neon Genesis Evangelion,21667900,70350
,0,2018-08-15 08:52:13,original,2018-08-15 08:52:13,1,2,1440,Twin Peaks,21667900,70533
,0,2018-11-15 16:07:00,original,2018-11-15 16:07:00,1,2,1440,Oz,21667900,70682
,0,2019-07-09 12:09:15,original,2019-07-09 12:09:15,1,2,1440,Deadwood,21667900,72023
,0,2018-11-30 04:19:44,original,2018-11-30 04:19:44,1,2,1440,One Tree Hill,21667900,72158
,0,2018-07-07 16:45:08,original,2018-07-30 12:39:08,0,2,1440,The Ellen DeGeneres Show,21667900,72194
,0,2018-11-27 09:31:55,original,2018-11-27 09:31:55,1,2,1440,Nip/Tuck,21667900,72201
,0,2018-11-01 07:58:54,original,2018-11-01 07:58:54,1,2,1440,Smallville,21667900,72218
,0,2018-11-10 12:51:16,original,2018-11-10 12:51:16,1,2,1440,Two and a Half Men,21667900,72227
,1,2020-09-15 09:03:06,original,2021-06-21 13:06:10,1,2,1440,The Office (US),21667900,73244
,0,2018-06-29 06:00:52,original,2018-06-29 06:00:52,1,2,1440,House,21667900,73255
,0,2018-06-26 16:52:06,original,2018-06-26 16:52:06,1,2,1440,Rome,21667900,73508
,0,2018-06-26 17:21:57,original,2018-06-26 17:21:57,1,2,1440,Lost,21667900,73739
,0,2018-06-26 17:09:31,original,2018-06-26 17:09:32,1,2,1440,Grey's Anatomy,21667900,73762
,1,2018-06-26 14:57:57,original,2018-07-14 11:08:08,1,2,1440,Desperate Housewives,21667900,73800
,0,2018-06-27 07:16:12,original,2018-10-05 08:00:32,1,2,1440,Band of Brothers,21667900,74205
,0,2018-09-15 04:27:57,original,2018-09-15 04:27:57,1,2,1440,Avatar: The Last Airbender,21667900,74852
,0,2019-05-28 04:25:03,original,2019-05-28 04:25:03,1,2,1440,The Sopranos,21667900,75299
,0,2018-07-27 10:50:48,original,2018-12-05 15:00:18,1,2,1440,Prison Break,21667900,75340
,0,2018-07-16 10:29:17,original,2018-07-16 10:29:17,1,2,1440,Six Feet Under,21667900,75450
,0,2018-06-26 14:42:15,original,2018-06-26 14:42:15,1,2,1440,How I Met Your Mother,21667900,75760
,0,2018-09-30 05:04:31,original,2018-11-18 16:22:14,0,2,1440,SpongeBob SquarePants,21667900,75886
,0,2018-09-03 05:11:06,original,2018-09-03 05:11:06,1,2,1440,Gilmore Girls,21667900,76568
,1,2018-06-26 14:58:23,original,2018-07-14 11:07:59,1,2,1440,Sex and the City,21667900,76648
,0,2019-05-04 16:12:59,original,2019-05-04 16:12:59,1,2,1440,Dragon Ball,21667900,76666
,0,2018-10-01 04:18:19,original,2018-10-08 12:15:45,0,2,1440,Pokémon,21667900,76703
,0,2019-01-05 16:39:15,original,2019-01-05 16:39:55,0,2,1440,"Sabrina, The Teenage Witch",21667900,76876
,0,2018-10-08 07:25:34,original,2018-10-08 07:25:34,1,2,1440,Doctor Who (2005),21667900,78804
,0,2020-08-31 05:52:13,original,2020-08-31 05:52:13,1,2,1440,Naruto,21667900,78857
,0,2019-05-04 16:15:38,original,2019-05-04 16:15:38,1,2,1440,Firefly,21667900,78874
,0,2018-08-15 08:53:00,original,2018-10-18 04:38:39,0,2,1440,Supernatural,21667900,78901
,0,2019-05-28 04:25:33,original,2019-05-28 04:25:33,1,2,1440,The Wire,21667900,79126
,0,2018-06-26 14:41:51,original,2018-06-26 14:41:51,1,2,1440,Friends,21667900,79168
,0,2019-05-04 16:13:01,original,2019-05-04 16:13:01,1,2,1440,Dragon Ball GT,21667900,79275
,1,2019-11-22 06:03:56,original,2019-12-12 06:27:06,1,2,1440,Angels in America,21667900,79311
,0,2018-11-22 14:51:32,original,2018-11-22 14:51:32,1,2,1440,North & South,21667900,79321
,0,2019-05-28 04:24:55,original,2019-05-28 04:24:55,1,2,1440,Dexter,21667900,79349
,0,2018-07-06 02:07:53,original,2018-07-06 02:07:53,1,2,1440,Death Note,21667900,79481
,0,2018-12-21 05:29:32,original,2018-12-21 05:29:32,1,2,1440,Jane Eyre (2006),21667900,79582
,0,2019-07-17 11:55:34,original,2019-07-17 11:55:34,1,2,1440,Naruto Shippuden,21667900,79824
,0,2018-08-15 08:52:16,original,2018-08-15 08:52:16,1,2,1440,The Tudors,21667900,79925
,0,2020-08-27 03:08:31,original,2020-08-27 03:08:31,1,2,1440,Mad Men,21667900,80337
,0,2018-06-26 15:02:55,original,2018-06-26 15:03:00,1,2,1440,The Big Bang Theory,21667900,80379
,0,2018-06-29 06:01:29,original,2018-06-29 06:01:29,1,2,1440,Gossip Girl,21667900,80547
,0,2018-06-26 14:45:31,original,2018-06-26 14:45:31,1,2,1440,Breaking Bad,21667900,81189
,0,2018-07-09 15:29:32,original,2018-07-09 15:29:32,1,2,1440,Dragon Ball Z,21667900,81472
,0,2018-06-26 17:18:02,original,2018-10-01 04:20:39,0,2,1440,Murdoch Mysteries,21667900,81670
,0,2020-08-31 05:51:15,original,2020-08-31 05:51:15,1,2,1440,One Piece,21667900,81797
,0,2018-11-02 10:46:00,original,2018-11-02 10:46:00,1,2,1440,Phineas and Ferb,21667900,81848
,0,2019-11-14 09:40:03,original,2019-11-14 09:40:03,1,2,1440,Hung,21667900,82091
,0,2019-06-14 09:25:41,original,2019-06-14 09:25:41,1,2,1440,Generation Kill,21667900,82109
,0,2018-09-12 11:59:36,original,2018-09-12 11:59:36,1,2,1440,True Blood,21667900,82283
,0,2018-09-03 05:11:10,original,2018-09-03 05:12:40,0,2,1440,90210,21667900,82716
,0,2018-10-08 03:52:49,original,2018-10-08 03:52:49,1,2,1440,Tess of the D'Urbervilles,21667900,83099
,0,2020-08-13 10:00:25,original,2020-08-13 10:00:25,1,2,1440,Toradora!,21667900,83277
,0,2018-11-29 06:20:43,original,2018-11-29 06:20:43,1,2,1440,The Diary of Anne Frank,21667900,84390
,0,2018-09-29 14:02:06,original,2018-10-08 09:53:34,0,2,1440,Parks and Recreation,21667900,84912
,0,2019-07-09 12:10:25,original,2019-07-09 12:10:25,1,2,1440,Boardwalk Empire,21667900,84947
,0,2020-08-31 05:52:14,original,2020-08-31 05:52:14,1,2,1440,Fullmetal Alchemist: Brotherhood,21667900,85249
,0,2019-05-04 16:13:01,original,2019-05-04 16:13:01,1,2,1440,Dragon Ball Kai,21667900,88031
,0,2018-11-01 11:39:51,original,2018-11-01 11:39:51,1,2,1440,The Staircase,21667900,92011
,0,2018-06-27 07:14:47,original,2018-06-27 07:14:47,1,2,1440,Modern Family,21667900,95011
,0,2018-06-26 16:57:59,original,2018-06-26 16:57:59,1,2,1440,The Vampire Diaries,21667900,95491
,0,2018-09-29 08:53:41,original,2018-09-29 08:53:41,1,2,1440,White Collar,21667900,108611
,0,2018-10-08 07:26:07,original,2019-07-17 11:57:22,1,2,1440,Fairy Tail,21667900,114801
,0,2018-06-26 14:38:06,original,2018-06-26 14:38:06,1,2,1440,Game of Thrones,21667900,121361
,0,2018-06-29 06:00:53,original,2018-06-29 06:00:53,1,2,1440,Pretty Little Liars,21667900,146711
,0,2018-06-26 16:58:43,original,2019-02-11 08:36:00,0,2,1440,The Walking Dead,21667900,153021
,0,2018-06-27 12:33:59,original,2018-08-21 12:45:34,0,2,1440,The Pillars of the Earth,21667900,159431
,0,2018-11-12 15:03:48,original,2018-11-12 15:03:48,1,2,1440,Luther,21667900,159591
,0,2018-06-29 06:01:30,original,2018-06-29 06:01:30,1,2,1440,Shameless (US),21667900,161511
,0,2018-08-05 10:29:29,original,2018-08-05 10:29:29,1,2,1440,Teen Wolf,21667900,175001
,0,2018-06-26 16:58:54,original,2018-06-26 16:58:54,1,2,1440,Sherlock,21667900,176941
,0,2018-06-26 16:57:38,original,2018-06-26 16:57:38,1,2,1440,The Borgias,21667900,187881
,0,2018-08-01 09:04:48,original,2018-08-01 09:04:48,1,2,1440,Downton Abbey,21667900,193131
,0,2020-08-27 03:08:29,original,2020-08-27 03:08:29,1,2,1440,The Killing (US),21667900,210171
,0,2018-07-24 13:16:16,original,2018-07-24 13:16:16,1,2,1440,Mildred Pierce,21667900,211681
,0,2018-06-26 16:53:22,original,2018-06-26 16:53:22,1,2,1440,Hell on Wheels,21667900,212961
,0,2018-09-12 11:59:42,original,2018-09-12 11:59:42,1,2,1440,Girls,21667900,220411
,0,2018-06-27 07:16:30,original,2018-06-27 07:16:30,1,2,1440,Veep,21667900,237831
,0,2018-10-31 14:54:50,original,2018-10-31 14:54:50,1,2,1440,Switched at Birth,21667900,247773
,0,2018-07-09 09:16:28,original,2018-07-09 09:16:28,1,2,1440,Suits,21667900,247808
,0,2019-01-06 11:06:30,original,2019-01-06 11:06:30,1,2,1440,Homeland,21667900,247897
,0,2018-10-01 04:18:45,original,2018-10-01 04:18:45,1,2,1440,Anohana: The Flower We Saw That Day,21667900,247958
,0,2018-06-27 08:49:23,original,2018-06-27 08:49:23,1,2,1440,New Girl,21667900,248682
,1,2018-07-10 16:23:06,original,2018-07-14 12:27:08,1,2,1440,2 Broke Girls,21667900,248741
,0,2018-09-21 07:30:11,original,2018-09-21 07:30:11,1,2,1440,Person of Interest,21667900,248742
,0,2018-06-26 17:19:59,original,2018-06-26 17:19:59,1,2,1440,Once Upon a Time (2011),21667900,248835
,0,2018-09-03 05:12:51,original,2018-09-03 05:12:51,1,2,1440,The Secret Circle,21667900,248884
,0,2018-09-06 16:11:07,original,2018-09-06 16:11:07,1,2,1440,The Red Band Society,21667900,248904
,0,2018-09-06 16:07:58,original,2018-09-06 16:07:58,1,2,1440,Touch (2012),21667900,248935
,1,2018-06-26 14:38:06,original,2018-07-14 12:26:49,1,2,1440,American Horror Story,21667900,250487
,0,2018-06-26 17:12:47,original,2018-06-26 17:12:47,1,2,1440,3%,21667900,250749
,0,2018-09-30 05:04:48,original,2018-09-30 05:04:48,1,2,1440,The Legend of Korra,21667900,251085
,0,2020-08-31 05:52:00,original,2021-03-16 10:55:08,0,2,1440,Hunter x Hunter (2011),21667900,252322
,0,2018-10-05 04:21:37,original,2018-10-05 04:21:37,1,2,1440,Guilty Crown,21667900,252471
,0,2018-11-18 06:13:25,original,2018-11-18 06:13:25,1,2,1440,Grand Hotel,21667900,252488
,0,2018-11-06 13:35:12,original,2018-11-06 13:35:12,1,2,1440,Top Boy,21667900,253138
,0,2018-06-26 14:43:32,original,2020-11-20 12:58:27,1,2,1440,Black Mirror,21667900,253463
,0,2018-11-06 13:33:47,original,2018-11-06 13:33:47,1,2,1440,Longmire,21667900,253491
,0,2018-06-26 17:08:45,original,2018-06-26 17:08:45,1,2,1440,American Gods,21667900,253573
,0,2018-07-16 16:14:36,original,2018-07-16 16:14:36,1,2,1440,Call the Midwife,21667900,255192
,0,2018-10-01 08:19:48,original,2018-10-01 08:19:48,1,2,1440,Birdsong,21667900,255250
,0,2018-06-26 17:59:35,original,2018-06-26 17:59:35,1,2,1440,Defiance,21667900,255326
,0,2018-08-12 11:31:07,original,2018-08-12 11:31:07,1,2,1440,Miss Fisher's Murder Mysteries,21667900,256352
,0,2018-09-02 16:25:49,original,2018-11-13 04:54:58,0,2,1440,Arrow,21667900,257655
,0,2018-11-06 13:34:10,original,2018-11-06 13:34:10,1,2,1440,The Fall,21667900,258107
,0,2018-06-26 17:28:27,original,2018-06-26 17:28:27,1,2,1440,Continuum,21667900,258171
,0,2018-11-03 16:50:14,original,2018-11-03 16:50:18,0,2,1440,Chicago Fire,21667900,258541
,0,2018-10-08 09:53:48,original,2018-10-08 09:53:48,1,2,1440,Hannibal,21667900,259063
,0,2018-09-22 04:00:04,original,2018-09-22 04:00:04,1,2,1440,Sword Art Online,21667900,259640
,0,2018-06-26 14:44:59,original,2018-06-26 14:44:59,1,2,1440,Da Vinci's Demons,21667900,259669
,0,2018-06-26 16:54:46,original,2018-06-26 16:54:46,1,2,1440,Hemlock Grove,21667900,259948
,0,2018-06-26 17:14:28,original,2018-06-26 17:14:28,1,2,1440,Orphan Black,21667900,260315
,0,2018-09-29 08:55:57,original,2018-09-29 08:55:57,1,2,1440,Top of the Lake,21667900,260320
,0,2018-06-26 16:58:11,original,2018-06-26 16:58:11,1,2,1440,Vikings,21667900,260449
,0,2019-07-13 16:21:30,original,2019-07-13 16:21:30,1,2,1440,Masters of Sex,21667900,261557
,0,2020-04-25 16:58:11,original,2020-04-25 16:58:11,1,2,1440,The Americans (2013),21667900,261690
,1,2018-06-26 16:56:36,original,2018-07-29 11:19:24,1,2,1440,Black Sails,21667900,262407
,0,2018-11-14 11:03:11,original,2018-11-14 11:03:11,1,2,1440,Bates Motel,21667900,262414
,0,2018-12-15 05:45:26,original,2018-12-15 05:45:26,1,2,1440,The Men Who Built America,21667900,262447
,1,2018-06-26 18:00:05,original,2020-09-28 06:26:56,1,2,1440,House of Cards (US),21667900,262980
,0,2018-08-01 09:05:03,original,2018-08-01 09:05:03,1,2,1440,The Returned,21667900,263677
,0,2018-07-25 12:40:38,original,2018-07-25 12:40:38,1,2,1440,Wentworth,21667900,264234
,0,2018-09-12 11:57:13,original,2018-09-12 11:57:13,1,2,1440,Under the Dome,21667900,264492
,0,2018-06-26 16:56:33,original,2018-06-26 16:56:33,1,2,1440,Orange Is the New Black,21667900,264586
,0,2018-11-01 04:59:20,original,2018-11-01 04:59:20,1,2,1440,Chosen,21667900,264954
,0,2018-10-05 07:57:58,original,2018-10-05 07:57:58,1,2,1440,Utopia,21667900,264991
,0,2018-07-10 16:27:01,original,2018-07-14 11:07:31,0,2,1440,Taarak Mehta Ka Ooltah Chashmah,21667900,265599
,1,2018-06-26 16:53:36,original,2018-07-29 11:19:32,1,2,1440,Penny Dreadful,21667900,265766
,0,2018-06-26 16:52:32,original,2018-06-26 16:52:32,1,2,1440,The White Queen,21667900,266092
,0,2018-06-26 17:09:12,original,2018-06-26 17:09:12,1,2,1440,The Blacklist,21667900,266189
,0,2022-07-07 21:13:45,original,2022-07-07 21:13:45,1,2,1440,"That Winter, the Wind Blows",21667900,266362
,0,2018-11-06 13:34:24,original,2018-11-06 13:34:24,1,2,1440,Broadchurch,21667900,266398
,0,2018-11-06 13:35:22,original,2018-11-06 13:35:22,1,2,1440,Rectify,21667900,266609
,0,2018-06-26 17:09:29,original,2018-06-26 17:09:29,1,2,1440,The Originals,21667900,266883
,0,2018-06-26 16:49:49,original,2018-06-26 16:49:49,1,2,1440,Mom,21667900,266967
,0,2018-09-22 04:00:10,original,2018-09-22 04:00:10,1,2,1440,Attack on Titan,21667900,267440
,0,2018-09-29 14:01:56,original,2018-09-29 14:01:56,1,2,1440,The Fosters (2013),21667900,267907
,0,2018-06-26 14:39:24,original,2018-06-26 14:39:24,1,2,1440,Sense8,21667900,268156
,0,2018-06-26 17:00:33,original,2018-10-08 12:14:15,0,2,1440,The 100,21667900,268592
,0,2020-04-19 10:34:15,original,2020-04-19 10:34:15,1,2,1440,Quarry,21667900,269110
,0,2018-11-07 05:38:54,original,2018-11-07 05:38:54,1,2,1440,The Musketeers,21667900,269159
,0,2018-07-07 16:43:09,original,2018-07-07 16:43:09,1,2,1440,Sleepy Hollow,21667900,269578
,0,2018-08-05 10:29:57,original,2018-08-05 10:29:57,1,2,1440,Brooklyn Nine-Nine,21667900,269586
,0,2018-07-10 16:23:40,original,2018-07-10 16:23:40,1,2,1440,Reign (2013),21667900,269602
,0,2018-07-16 11:27:25,original,2018-07-16 11:27:25,1,2,1440,Star-Crossed,21667900,269604
,0,2018-07-16 10:27:54,original,2018-07-16 10:27:54,1,2,1440,Fargo,21667900,269613
,0,2018-10-01 08:19:41,original,2018-10-01 08:19:41,1,2,1440,Betrayal,21667900,269647
,0,2018-11-10 16:32:41,original,2018-11-10 16:32:41,1,2,1440,Resurrection,21667900,269650
,0,2018-06-26 17:21:33,original,2018-06-26 17:21:33,1,2,1440,The Leftovers,21667900,269689
,0,2018-06-26 17:21:11,original,2018-06-26 17:21:11,1,2,1440,Outlander,21667900,270408
,0,2018-08-15 08:52:52,original,2018-08-15 08:52:52,1,2,1440,The Affair,21667900,270439
,0,2018-09-12 11:59:12,original,2018-09-12 11:59:12,1,2,1440,True Detective,21667900,270633
,0,2018-10-26 04:31:00,original,2018-10-26 04:31:00,1,2,1440,Peaky Blinders,21667900,270915
,0,2018-06-27 07:14:59,original,2018-06-27 07:14:59,1,2,1440,12 Monkeys,21667900,272644
,0,2018-06-26 18:02:23,original,2018-06-26 18:02:23,1,2,1440,Better Call Saul,21667900,273181
,0,2019-07-09 12:10:50,original,2019-07-09 12:10:50,1,2,1440,Looking,21667900,274337
,0,2018-06-27 08:49:15,original,2018-06-27 08:49:15,1,2,1440,Gotham,21667900,274431
,0,2018-10-01 08:21:56,original,2018-10-01 08:21:56,1,2,1440,Salem,21667900,274897
,0,2018-11-27 06:33:13,original,2018-11-27 06:33:13,1,2,1440,Anna Karenina (2013),21667900,276031
,0,2019-09-15 12:35:37,original,2019-09-15 12:35:37,0,2,1440,Rosemary's Baby,21667900,276147
,0,2018-08-15 08:53:45,original,2018-08-15 08:53:45,1,2,1440,Power,21667900,276562
,0,2018-07-16 16:15:43,original,2018-07-16 16:15:43,1,2,1440,Olive Kitteridge,21667900,276842
,0,2018-06-27 07:16:09,original,2018-06-27 07:16:09,1,2,1440,Silicon Valley,21667900,277165
,0,2018-12-05 11:04:55,original,2018-12-05 11:04:55,1,2,1440,Bosch,21667900,277928
,0,2018-08-09 16:27:31,original,2018-08-09 16:27:31,1,2,1440,Mozart in the Jungle,21667900,278335
,0,2018-07-17 16:18:09,original,2018-07-17 16:18:09,1,2,1440,Our Girl,21667900,278640
,0,2018-06-26 16:58:50,original,2018-06-26 16:58:50,1,2,1440,The Flash (2014),21667900,279121
,0,2018-08-05 13:51:25,original,2018-08-05 13:51:25,1,2,1440,Deadbeat,21667900,279392
,0,2018-10-01 16:20:54,original,2018-10-01 16:20:54,1,2,1440,Billions,21667900,279536
,0,2020-08-24 03:27:51,original,2020-08-24 03:27:51,1,2,1440,Blue Spring Ride,21667900,279554
,0,2018-10-01 04:18:01,original,2018-10-01 04:18:01,1,2,1440,Your Lie in April,21667900,279830
,0,2019-07-10 11:20:53,original,2019-07-10 11:20:53,1,2,1440,The Knick,21667900,279977
,0,2018-11-14 11:04:24,original,2018-11-14 11:04:24,1,2,1440,Prey (2014),21667900,280361
,0,2018-11-06 13:33:29,original,2018-11-06 13:33:29,1,2,1440,Happy Valley,21667900,280537
,0,2018-07-17 16:18:22,original,2018-07-17 16:18:22,1,2,1440,Poldark (2015),21667900,280582
,0,2018-06-26 17:26:22,original,2018-06-26 17:26:22,1,2,1440,The Expanse,21667900,280619
,0,2018-07-03 16:39:59,original,2018-07-03 16:39:59,1,2,1440,Younger,21667900,280706
,0,2018-10-24 07:57:41,original,2018-10-24 07:57:41,1,2,1440,Tokyo Ghoul,21667900,281249
,0,2018-11-10 16:30:06,original,2018-11-10 16:30:06,1,2,1440,Complications,21667900,281256
,0,2018-07-22 10:42:21,original,2018-07-22 10:42:21,1,2,1440,Tut,21667900,281367
,0,2018-11-10 16:32:57,original,2018-11-10 16:32:57,1,2,1440,Red Band Society (US),21667900,281532
,0,2019-01-04 10:01:49,original,2019-01-04 10:01:49,1,2,1440,Forever (2014),21667900,281535
,0,2018-07-16 11:28:04,original,2018-07-16 11:28:04,1,2,1440,The Whispers,21667900,281536
,0,2018-11-14 11:02:56,original,2018-11-14 11:02:56,1,2,1440,American Crime,21667900,281613
,0,2018-06-27 08:49:11,original,2018-06-27 08:49:11,1,2,1440,How to Get Away with Murder,21667900,281620
,0,2018-08-15 08:53:06,original,2018-08-15 08:53:06,1,2,1440,Jane the Virgin,21667900,281621
,0,2018-10-05 06:12:24,original,2018-10-05 06:12:24,1,2,1440,Over the Garden Wall,21667900,281643
,0,2018-06-26 16:55:07,original,2018-06-26 16:55:07,1,2,1440,Marvel's Daredevil,21667900,281662
,0,2018-07-16 11:27:15,original,2018-07-16 11:27:15,1,2,1440,Stalker,21667900,281697
